"","","District","","Name","Party","Religion","Prior Experience","Education","Assumed Office","Born In"
"180","","Maine 1","","Pingree, ChellieChellie Pingree","Democratic","Lutheran - ELCA","Majority Leader Maine State Senate, President Common Cause","College of the Atlantic","2009","1955"
"181","","Maine 2","","Michaud, MikeMike Michaud","Democratic","Roman Catholic","President of the Maine State Senate, Maine House of Representatives","Schenck High School","2003","1955"
"182","","Maryland 1","","Harris, AndyAndy Harris","Republican","Roman Catholic","Maryland State Senate","Johns Hopkins University","2011","1957"
"183","","Maryland 2","","Ruppersberger, DutchDutch Ruppersberger","Democratic","United Methodist","Baltimore County Executive; Chief of the Office of Investigative Division for Maryland's Department of Justice; Baltimore County Assistant State's Attorney","University of MarylandUniversity of Baltimore","2003","1946"
"184","","Maryland 3","","Sarbanes, JohnJohn Sarbanes","Democratic","Eastern Orthodox","Attorney, Law Clerk","Princeton UniversityHarvard Law School","2007","1962"
"185","","Maryland 4","","Edwards, DonnaDonna Edwards","Democratic","Baptist","Community Activist","Wake Forest UniversityUniversity of New Hampshire School of Law","2008*","1958"
"186","","Maryland 5","","Hoyer, StenySteny Hoyer","Democratic","Baptist - Alliance of Baptists","Current House Minority Whip
President of the Maryland State Senate, Maryland Board of Higher Education","University of MarylandGeorgetown University","1981*","1939"
"187","","Maryland 6","","Delaney, JohnJohn Delaney","Democratic","Roman Catholic","Businessman","Columbia UniversityGeorgetown University Law Center","2013","1963"
"188","","Maryland 7","","Cummings, ElijahElijah Cummings","Democratic","Baptist - ABCUSA","Speaker pro tempore of the Maryland House of Delegates","Howard UniversityUniversity of Maryland","1996*","1951"
"189","","Maryland 8","","Van Hollen, ChrisChris Van Hollen","Democratic","Episcopalian","Maryland State Senate, Maryland House of Delegates","Swarthmore CollegeHarvard UniversityGeorgetown University","2003","1959"
"190","","Massachusetts 1","","Neal, RichardRichard Neal","Democratic","Roman Catholic","Mayor of Springfield","American International CollegeUniversity of Hartford","1989","1949"
"191","","Massachusetts 2","","McGovern, JimJim McGovern","Democratic","Roman Catholic","Congressional staff member","American University","1997","1959"
"192","","Massachusetts 3","","Tsongas, NikiNiki Tsongas","Democratic","Eastern Orthodox","Dean of External Affairs at Middlesex Community College","Smith CollegeBoston University","2007*","1946"
"193","","Massachusetts 4","","Kennedy, JoeJoe Kennedy","Democratic","Roman Catholic","Prosecutor, assistant district attorney","Stanford UniversityHarvard University","2013","1980"
"194","","Massachusetts 5","","Clark, KatherineKatherine Clark","Democratic","unspecified Christian","Massachusetts Senate, Attorney","St. Lawrence UniversityCornell UniversityHarvard Kennedy School of Government","2013","1963"
"195","","Massachusetts 6","","Tierney, JohnJohn Tierney","Democratic","Roman Catholic","Attorney","Salem State UniversitySuffolk University Law School","1997","1951"
"196","","Massachusetts 7","","Capuano, MikeMike Capuano","Democratic","Roman Catholic","Mayor of Somerville","Dartmouth CollegeBoston College Law School","1999","1952"
"197","","Massachusetts 8","","Lynch, StephenStephen Lynch","Democratic","Roman Catholic","Massachusetts State Legislature","Wentworth Institute of TechnologyBoston College Law School","2001*","1955"
"198","","Massachusetts 9","","Keating, BillBill Keating","Democratic","Roman Catholic","Massachusetts House of Representatives, Massachusetts Senate, Norfolk County District Attorney","Boston CollegeSuffolk University Law School","2011","1952"
"199","","Michigan 1","","Benishek, DanDan Benishek","Republican","Roman Catholic","surgeon","University of MichiganWayne State University School of Medicine","2011","1952"
"200","","Michigan 2","","Huizenga, BillBill Huizenga","Republican","Christian Reformed","Michigan House of Representatives","Calvin College","2011","1969"
"201","","Michigan 3","","Amash, JustinJustin Amash","Republican","Eastern Orthodox","Michigan House of Representatives","University of MichiganUniversity of Michigan Law School","2011","1980"
"202","","Michigan 4","","Camp, DavidDavid Camp","Republican","Roman Catholic","Michigan House of Representatives","Albion CollegeUniversity of San Diego School of Law","1991","1953"
"203","","Michigan 5","","Kildee, DanDan Kildee","Democratic","Roman Catholic","Genessee County Treasurer","Central Michigan University","2013","1958"
"204","","Michigan 6","","Upton, FredFred Upton","Republican","Congregationalist - UCC","U.S. government administrator","University of Michigan","1987","1953"
"205","","Michigan 7","","Walberg, TimTim Walberg","Republican","United Brethren","U.S. House","Fort Wayne Bible CollegeWheaton College","2011","1951"
"206","","Michigan 8","","Rogers, MikeMike Rogers","Republican","United Methodist","Michigan Senate","Adrian College","2001","1963"
"207","","Michigan 9","","Levin, SanderSander Levin","Democratic","Jewish","U.S. Government administrator","University of ChicagoColumbia UniversityHarvard Law School","1983","1931"
"208","","Michigan 10","","Miller, CandiceCandice Miller","Republican","Presbyterian PC(USA)","Harrison Township Supervisor, Macomb County Treasurer, State Secretary of State","Macomb Community CollegeNorthwood University","2003","1954"
"209","","Michigan 11","","Bentivolio, KerryKerry Bentivolio","Republican","Roman Catholic","Teacher, engineer","Saint Mary's CollegeMarygrove College","2013","1951"
"210","","Michigan 12","","Dingell, JohnJohn Dingell","Democratic","Roman Catholic","asst. prosecutor, Wayne County","Georgetown University","1955*","1926"
"211","","Michigan 13","","Conyers, JohnJohn Conyers","Democratic","Baptist - NBC","Congressional aide","Wayne State University","1965","1929"
"212","","Michigan 14","","Peters, GaryGary Peters","Democratic","Episcopalian","Michigan Senate, Michigan Lottery Commissioner","Alma CollegeUniversity of Detroit MercyWayne State University Law School","2009","1958"
"213","","Minnesota 1","","Walz, TimTim Walz","DFL","Lutheran - ELCA","Army National Guard Command Sergeant Major, teacher","Chadron State College","2007","1964"
"214","","Minnesota 2","","Kline, JohnJohn Kline","Republican","United Methodist","U.S. Marine Corps Colonel","Rice UniversityShippensburg University","2003","1947"
"215","","Minnesota 3","","Paulsen, ErikErik Paulsen","Republican","Lutheran - LCMS","Minnesota Senate","St. Olaf College","2009","1965"
"216","","Minnesota 4","","McCollum, BettyBetty McCollum","DFL","Roman Catholic","North St. Paul City Council, Minnesota House of Representatives","College of St. Catherine","2001","1954"
"217","","Minnesota 5","","Ellison, KeithKeith Ellison","DFL","Muslim","Minnesota House of Representatives","Wayne State UniversityUniversity of Minnesota Law School","2007","1963"
"218","","Minnesota 6","","Bachmann, MicheleMichele Bachmann","Republican","Evangelical Free Church","Education adviser for Minnesota Family Institute, Minnesota Senate","Winona State UniversityOral Roberts UniversityCollege of William and Mary","2007","1956"
"219","","Minnesota 7","","Peterson, CollinCollin Peterson","DFL","Lutheran - ELCA","Certified Public Accountant, Minnesota Senate","Moorhead State University","1991","1944"
"220","","Minnesota 8","","Nolan, RickRick Nolan","Democratic","Roman Catholic","U.S. House, businessman","St. John’s UniversityUniversity of MinnesotaUniversity of MarylandSt. Cloud State University","2013","1943"
"221","","Mississippi 1","","Nunnelee, AlanAlan Nunnelee","Republican","Baptist - SBC","Mississippi Senate","Mississippi State University","2011","1958"
"222","","Mississippi 2","","Thompson, BennieBennie Thompson","Democratic","United Methodist","alderman, mayor of Bolton, Hinds County Board of Supervisors","Tougaloo CollegeJackson State University","1993*","1948"
"223","","Mississippi 3","","Harper, GreggGregg Harper","Republican","Baptist - SBC","Attorney, Rankin County Party Chairman","Mississippi CollegeUniversity of Mississippi","2009","1956"
"224","","Mississippi 4","","Palazzo, StevenSteven Palazzo","Republican","Roman Catholic","Mississippi House of Representatives","University of Southern Mississippi","2011","1970"
"225","","Missouri 1","","Clay, WilliamWilliam Clay","Democratic","Roman Catholic","Missouri State Legislature","University of MarylandHarvard University","2001","1956"
"226","","Missouri 2","","Wagner, AnnAnn Wagner","Republican","Roman Catholic","U.S. Ambassador to Luxembourg","University of Missouri","2013","1962"
"227","","Missouri 3","","Luetkemeyer, BlaineBlaine Luetkemeyer","Republican","Roman Catholic","Missouri House of Representatives, State Tourism Director","Lincoln University","2009","1960"
"228","","Missouri 4","","Hartzler, VickyVicky Hartzler","Republican","Fellowship of Evangelical Churches","Missouri House of Representatives","University of MissouriCentral Missouri State University","2011","1960"
"229","","Missouri 5","","Cleaver, EmanuelEmanuel Cleaver","Democratic","United Methodist","Mayor of Kansas City, pastor, radio show host","Prairie View A&M UniversitySt. Paul School of Theology","2005","1944"
"230","","Missouri 6","","Graves, SamSam Graves","Republican","Baptist - SBC","Missouri Senate","University of Missouri","2001","1963"
"231","","Missouri 7","","Long, BillyBilly Long","Republican","Presbyterian PC(USA)","auctioneer","","2011","1955"
"232","","Missouri 8","","Smith, Jason T.Jason T. Smith","Republican","Pentecostal - AG","Missouri House of Representatives","University of Missouri","2013","1980"
"233","","Montana At Large","","Daines, SteveSteve Daines","Republican","Presbyterian PC(USA)","Businessman","Montana State University","2001","1955"
"234","","Nebraska 1","","Fortenberry, JeffJeff Fortenberry","Republican","Roman Catholic","Lincoln city council, businessman","Louisiana State UniversityGeorgetown UniversityFranciscan University of Steubenville","2005","1960"
"235","","Nebraska 2","","Terry, LeeLee Terry","Republican","United Methodist","Omaha City Council, attorney","University of NebraskaCreighton University","1999","1962"
"236","","Nebraska 3","","Smith, AdrianAdrian Smith","Republican","Evangelical Free Church","Gering City Council, State Legislator","University of Nebraska","2007","1970"
"237","","Nevada 1","","Titus, DinaDina Titus","Democratic","Eastern Orthodox","U.S. House","College of William & MaryUniversity of GeorgiaFlorida State University","2013","1950"
"238","","Nevada 2","","Amodei, MarkMark Amodei","Republican","Presbyterian","Nevada House of Representatives; Nevada Senate","University of Nevada, RenoUniversity of the Pacific","2011*","1958"
"239","","Nevada 3","","Heck, JoeJoe Heck","Republican","Roman Catholic","Nevada Senate","Pennsylvania State UniversityPhiladelphia College of Osteopathic MedicineU.S. Army War College","2011","1961"
"240","","Nevada 4","","Horsford, StevenSteven Horsford","Democratic","Baptist","Nevada Senate","University of Nevada, Reno (attended)","2013","1973"
"241","","New Hampshire 1","","Shea-Porter, CarolCarol Shea-Porter","Democratic","Roman Catholic","U.S. House","University of New Hampshire","2013","1952"
"242","","New Hampshire 2","","McLane Kuster, AnnAnn McLane Kuster","Democratic","Episcopalian","Attorney, lobbyist","Dartmouth CollegeGeorgetown University Law Center","2013","1956"
"243","","New Jersey 1","","Norcross, DonaldDonald Norcross","Democratic","Unknown","New Jersey Senate, New Jersey General Assembly","Camden County College","2014*","1958"
"244","","New Jersey 2","","LoBiondo, FrankFrank LoBiondo","Republican","Roman Catholic","New Jersey General Assembly","St. Joseph's University","2003","1946"
"245","","New Jersey 3","","Runyan, JonJon Runyan","Republican","Roman Catholic","National Football League player (offensive tackle)","University of Michigan","2011","1973"
"246","","New Jersey 4","","Smith, ChrisChris Smith","Republican","Roman Catholic","Retail executive","Trenton State College","1981","1953"
"247","","New Jersey 5","","Garrett, ScottScott Garrett","Republican","Nondenominational Christian","New Jersey General Assembly","Montclair State UniversityRutgers University","2003","1959"
"248","","New Jersey 6","","Pallone, FrankFrank Pallone","Democratic","Roman Catholic","Long Branch city council, New Jersey Senate","Middlebury CollegeTufts UniversityRutgers University","1988*","1951"
"249","","New Jersey 7","","Lance, LeonardLeonard Lance","Republican","Roman Catholic","New Jersey Senate","Lehigh UniversityVanderbilt UniversityPrinceton University","2009","1952"
"250","","New Jersey 8","","Sires, AlbioAlbio Sires","Democratic","Roman Catholic","Mayor of West New York, Speaker of the New Jersey General Assembly","Saint Peter's CollegeMiddlebury College","2006*","1951"
"251","","New Jersey 9","","Pascrell, BillBill Pascrell","Democratic","Roman Catholic","New Jersey General Assembly, Mayor of Paterson","Fordham University","1997","1937"
"252","","New Jersey 10","","Payne, Jr., DonaldDonald Payne, Jr.","Democratic","Baptist","Newark Municipal Council, Essex County Freeholder","Kean University","2012*","1958"
"253","","New Jersey 11","","Frelinghuysen, RodneyRodney Frelinghuysen","Republican","Episcopalian","New Jersey General Assembly","Hobart College","1995","1946"
"254","","New Jersey 12","","Holt, Jr., RushRush Holt, Jr.","Democratic","Quaker","physicist","Carleton CollegeNew York University","1999","1948"
"255","","New Mexico 1","","Lujan Grisham, MichelleMichelle Lujan Grisham","Democratic","Roman Catholic","Bernalillo County commissioner","University of New MexicoUniversity of New Mexico School of Law","2013","1959"
"256","","New Mexico 2","","Pearce, SteveSteve Pearce","Republican","Baptist - SBC","U.S. House","New Mexico State UniversityEastern New Mexico University","2011","1947"
"257","","New Mexico 3","","Luján, BenBen Luján","Democratic","Roman Catholic","New Mexico Public Regulation Commissioner","New Mexico Highlands University","2009","1972"
"258","","New York 1","","Bishop, TimTim Bishop","Democratic","Roman Catholic","Provost of Southampton College","College of the Holy CrossLong Island University","2003","1950"
"259","","New York 2","","King, PeterPeter King","Republican","Roman Catholic","Hempstead Town Council, Nassau County Comptroller","St. Francis CollegeUniversity of Notre Dame","1993","1944"
"260","","New York 3","","Israel, SteveSteve Israel","Democratic","Jewish","Huntington Town Board","George Washington University","2001","1958"
"261","","New York 4","","McCarthy, CarolynCarolyn McCarthy","Democratic","Roman Catholic","Practical Nurse","Glen Cove Hospital School of Nursing","1997","1944"
"262","","New York 5","","Meeks, GregoryGregory Meeks","Democratic","African Methodist","New York State Assembly","Adelphi UniversityHoward University","1998*","1953"
"263","","New York 6","","Meng, GraceGrace Meng","Democratic","unspecified Christian","New York State Assembly","University of MichiganBenjamin N. Cardozo School of Law","2013","1975"
"264","","New York 7","","Velázquez, NydiaNydia Velázquez","Democratic","Roman Catholic","Director, Dept. of Puerto Rican Community Affairs","University of Puerto RicoNew York University","1993","1953"
"265","","New York 8","","Jeffries, HakeemHakeem Jeffries","Democratic","Baptist - unspecified","New York State Assembly","New York University School of LawGeorgetown UniversityBinghamton University","2013","1970"
"266","","New York 9","","Clarke, YvetteYvette Clarke","Democratic","African Methodist","New York City Councilwoman","Oberlin College","2007","1964"
"267","","New York 10","","Nadler, JerroldJerrold Nadler","Democratic","Jewish","New York State Assembly","Columbia UniversityFordham University","1992*","1947"
"268","","New York 11","","Grimm, MichaelMichael Grimm","Republican","Roman Catholic","FBI Agent","Baruch CollegeNew York Law School","2011","1970"
"269","","New York 12","","Maloney, CarolynCarolyn Maloney","Democratic","Presbyterian PC(USA)","New York City Councilwoman","Greensboro College","1993","1948"
"270","","New York 13","","Rangel, CharlesCharles Rangel","Democratic","Roman Catholic","United States Army Sergeant, attorney, New York State Assembly","New York UniversitySt. John's University","1971","1930"
"271","","New York 14","","Crowley, JosephJoseph Crowley","Democratic","Roman Catholic","New York State Assembly","Queens College","1999","1962"
"272","","New York 15","","Serrano, JoséJosé Serrano","Democratic","Roman Catholic","New York State Assembly","Lehman College","1990*","1943"
"273","","New York 16","","Engel, EliotEliot Engel","Democratic","Jewish","high school teacher, New York State Assembly","Lehman CollegeNew York Law School","1989","1947"
"274","","New York 17","","Lowey, NitaNita Lowey","Democratic","Jewish","New York Assistant Secretary of State","Mount Holyoke College","1989","1937"
"275","","New York 18","","Maloney, Sean PatrickSean Patrick Maloney","Democratic","Roman Catholic","Attorney","University of Virginia","2013","1966"
"276","","New York 19","","Gibson, ChrisChris Gibson","Republican","Roman Catholic","United States Army","Siena CollegeCornell University","2011","1964"
"277","","New York 20","","Tonko, PaulPaul Tonko","Democratic","Roman Catholic","NY Assemblyman","Clarkson University","2009","1949"
"278","","New York 21","","Owens, BillBill Owens","Democratic","Roman Catholic","Lawyer, business owner","Fordham UniversityManhattan College","2009*","1949"
"279","","New York 22","","Hanna, RichardRichard Hanna","Republican","Roman Catholic","businessman","Reed College","2011","1951"
"280","","New York 23","","Reed, TomTom Reed","Republican","Roman Catholic","Mayor of Corning","Alfred UniversityOhio Northern University, Pettit College of Law","2010*","1971"
"281","","New York 24","","Maffei, DanDan Maffei","Democratic","Roman Catholic","U.S. House","Brown UniversityColumbia UniversityHarvard University","2013","1968"
"282","","New York 25","","Slaughter, LouiseLouise Slaughter","Democratic","Episcopalian","Monroe County Legislature, New York State Assembly","University of Kentucky","1987","1929"
"283","","New York 26","","Higgins, BrianBrian Higgins","Democratic","Roman Catholic","Buffalo Common Council,New York State Assemblyman","University at BuffaloHarvard University","2005","1959"
"284","","New York 27","","Collins, ChrisChris Collins","Republican","Roman Catholic","Erie County Executive","North Carolina State UniversityUniversity of Alabama at Birmingham","2013","1950"
"285","","North Carolina 1","","Butterfield, G. K.G. K. Butterfield","Democratic","Baptist - ABCUSA","North Carolina Supreme Court Justice","North Carolina Central University","2004*","1947"
"286","","North Carolina 2","","Ellmers, ReneeRenee Ellmers","Republican","Roman Catholic","registered nurse","Oakland University","2011","1964"
"287","","North Carolina 3","","Jones, WalterWalter Jones","Republican","Roman Catholic","North Carolina House of Representatives","Atlantic Christian College","1995","1943"
"288","","North Carolina 4","","Price, DavidDavid Price","Democratic","Baptist - ABCUSA","college professor","Mars Hill CollegeUniversity of North CarolinaYale University","1997","1940"
"289","","North Carolina 5","","Foxx, VirginiaVirginia Foxx","Republican","Roman Catholic","North Carolina Senate","University of North CarolinaUniversity of North Carolina-Greensboro","2005","1943"
"290","","North Carolina 6","","Coble, HowardHoward Coble","Republican","Presbyterian PC(USA)","NC Secretary of Revenue,North Carolina House of Representatives","Guilford CollegeUniversity of North Carolina","1985","1931"
"291","","North Carolina 7","","McIntyre, MikeMike McIntyre","Democratic","Presbyterian PC(USA)","Attorney","University of North Carolina","1997","1956"
"292","","North Carolina 8","","Hudson, RichardRichard Hudson","Republican","United Methodist","Businessman","UNC Charlotte","2013","1971"
"293","","North Carolina 9","","Pittenger, RobertRobert Pittenger","Republican","Nondenominational Christian","North Carolina State Senate","University of Texas","2013","1948"
"294","","North Carolina 10","","McHenry, PatrickPatrick McHenry","Republican","Roman Catholic","North Carolina House of Representatives","North Carolina State UniversityBelmont Abbey College","2005","1975"
"295","","North Carolina 11","","Meadows, MarkMark Meadows","Republican","United Methodist","Businessman","University of South Florida","2013","1959"
"296","","North Carolina 12","","Adams, AlmaAlma Adams","Democratic","Unknown","North Carolina House of Representatives","North Carolina A&T State UniversityOhio State University","2014*","1946"
"297","","North Carolina 13","","Holding, GeorgeGeorge Holding","Republican","Baptist - SBC","U.S. Attorney for Eastern North Carolina","Wake Forest UniversityWake Forest University School of Law","2013","1968"
"298","","North Dakota At Large","","Cramer, KevinKevin Cramer","Republican","Pentecostal - ICFG","North Dakota Public Service Commissioner","Concordia CollegeUniversity of Mary","2013","1961"
"299","","Ohio 1","","Chabot, SteveSteve Chabot","Republican","Roman Catholic","U.S. House","College of William & MaryNorthern Kentucky University","2011","1953"
"300","","Ohio 2","","Wenstrup, BradBrad Wenstrup","Republican","Roman Catholic","Physician","University of Cincinnati","2013","1958"
"301","","Ohio 3","","Beatty, JoyceJoyce Beatty","Democratic","Baptist","Ohio House of Representatives Minority Leader","Central State UniversityWright State UniversityUniversity of Cincinnati","2013","1950"
"302","","Ohio 4","","Jordan, JimJim Jordan","Republican","Nondenominational Christian","State General Assembly, Ohio Senate","University of Wisconsin–Madison","2007","1964"
"303","","Ohio 5","","Latta, BobBob Latta","Republican","Roman Catholic","Wood County Commissioner, Ohio House of Representatives, Ohio Senate","Bowling Green State UniversityUniversity of Toledo","2007","1956"
"304","","Ohio 6","","Johnson, BillBill Johnson","Republican","unspecified Protestant","United States Air Force","Troy University","2011","1954"
"305","","Ohio 7","","Gibbs, BobBob Gibbs","Republican","United Methodist","Ohio House of Representatives, Ohio Senate","Ohio State University Agricultural Technical Institute","2011","1954"
"306","","Ohio 8","","Boehner, JohnJohn Boehner","Republican","Roman Catholic","Current Speaker of the House of RepresentativesOhio House of Representatives","Xavier University","1991","1949"
"307","","Ohio 9","","Kaptur, MarcyMarcy Kaptur","Democratic","Roman Catholic","Domestic Policy Advisor, Carter Adm.","University of WisconsinUniversity of MichiganMassachusetts Institute of Technology","1983","1946"
"308","","Ohio 10","","Turner, MikeMike Turner","Republican","Presbyterian","Mayor of Dayton","Ohio Northern UniversityCase Western Reserve UniversityUniversity of Dayton","2003","1960"
"309","","Ohio 11","","Fudge, MarciaMarcia Fudge","Democratic","Baptist","Mayor of Warrensville Heights","Ohio State UniversityCleveland-Marshall College of Law","2008*","1952"
"310","","Ohio 12","","Tiberi, PatPat Tiberi","Republican","Roman Catholic","Ohio House of Representatives","Ohio State UniversityCapital University","2001","1962"
"311","","Ohio 13","","Ryan, TimTim Ryan","Democratic","Roman Catholic","Ohio Senate","Bowling Green State UniversityUniversity of New Hampshire School of Law","2003","1973"
"312","","Ohio 14","","Joyce, DavidDavid Joyce","Republican","Roman Catholic","Geauga County Prosecutor","University of Dayton","2013","1957"
"313","","Ohio 15","","Stivers, SteveSteve Stivers","Republican","United Methodist","Ohio Senate","Ohio State University","2011","1965"
"314","","Ohio 16","","Renacci, JimJim Renacci","Republican","Roman Catholic","businessman, CPA","Indiana University of Pennsylvania","2011","1958"
"315","","Oklahoma 1","","Bridenstine, JimJim Bridenstine","Republican","Baptist - SBC","Museum director","Rice UniversitySamuel Curtis Johnson Graduate School of Management","2013","1975"
"316","","Oklahoma 2","","Mullin, MarkwayneMarkwayne Mullin","Republican","Pentecostalism","Businessman","Missouri Valley College","2013","1977"
"317","","Oklahoma 3","","Lucas, FrankFrank Lucas","Republican","Baptist - SBC","Oklahoma House of Representatives","Oklahoma State University","2003","1960"
"318","","Oklahoma 4","","Cole, TomTom Cole","Republican","United Methodist","Oklahoma Senate, Oklahoma Secretary of State, college professor","Grinnell CollegeYale UniversityUniversity of Oklahoma","2003","1949"
"319","","Oklahoma 5","","Lankford, JamesJames Lankford","Republican","Baptist - SBC","youth minister","University of Texas at AustinSouthwestern Baptist Theological Seminary","2011","1968"
"320","","Oregon 1","","Bonamici, SuzanneSuzanne Bonamici","Democratic","Unknown","Oregon House of Representatives, Oregon State Senate","Lane Community CollegeUniversity of Oregon","2012*","1954"
"321","","Oregon 2","","Walden, GregGreg Walden","Republican","Episcopalian","Oregon House of Representatives, Oregon State Senate","University of Oregon","1999","1957"
"322","","Oregon 3","","Blumenauer, EarlEarl Blumenauer","Democratic","unspecified Protestant","Oregon state representative, Multnomah County Commissioner, Portland City Commissioner","Lewis & Clark College","1996*","1948"
"323","","Oregon 4","","DeFazio, PeterPeter DeFazio","Democratic","Roman Catholic","Lane County Commissioner, Chair","Tufts UniversityUniversity of OregonUniversity of Notre Dame","1987","1947"
"324","","Oregon 5","","Schrader, KurtKurt Schrader","Democratic","Episcopalian","Veterinarian, Oregon State Senate","Cornell UniversityUniversity of Illinois","2009","1951"
"325","","Pennsylvania 1","","Brady, BobBob Brady","Democratic","Roman Catholic","Congressional aide; Pennsylvania Turnpike Commission","St. Thomas More High School","1998*","1945"
"326","","Pennsylvania 2","","Fattah, ChakaChaka Fattah","Democratic","Baptist - NBC","Pennsylvania General Assembly","University of Pennsylvania","1995","1956"
"327","","Pennsylvania 3","","Kelly, MikeMike Kelly","Republican","Roman Catholic","businessman","University of Notre Dame","2011","1948"
"328","","Pennsylvania 4","","Perry, ScottScott Perry","Republican","United Brethren","Pennsylvania House of Representatives","Pennsylvania State University","2013","1962"
"329","","Pennsylvania 5","","Thompson, GlennGlenn Thompson","Republican","Nondenominational Christian","Centre County Party Chairman","Penn State UniversityTemple University","2009","1959"
"330","","Pennsylvania 6","","Gerlach, JimJim Gerlach","Republican","unspecified Protestant","Pennsylvania General Assembly","Dickinson CollegeDickinson School of Law","2003","1955"
"331","","Pennsylvania 7","","Meehan, PatPat Meehan","Republican","Roman Catholic","Delaware County District Attorney, U.S. Attorney","Bowdoin CollegeTemple Law School","2011","1955"
"332","","Pennsylvania 8","","Fitzpatrick, MikeMike Fitzpatrick","Republican","Roman Catholic","U.S. House","St. Thomas UniversityDickinson School of Law","2011","1963"
"333","","Pennsylvania 9","","Shuster, BillBill Shuster","Republican","Lutheran - ELCA","Businessman","Dickinson CollegeAmerican University","2001*","1961"
"334","","Pennsylvania 10","","Marino, TomTom Marino","Republican","Roman Catholic","U.S. Attorney","Lycoming CollegeDickinson School of Law","2011","1952"
"335","","Pennsylvania 11","","Barletta, LouLou Barletta","Republican","Roman Catholic","Mayor of Hazleton","","2011","1956"
"336","","Pennsylvania 12","","Rothfus, KeithKeith Rothfus","Republican","Roman Catholic","Attorney","SUNY BuffaloUniversity of Notre Dame","2013","1962"
"337","","Pennsylvania 13","","Schwartz, AllysonAllyson Schwartz","Democratic","Jewish","Pennsylvania State Senate","Simmons CollegeBryn Mawr College","2005","1948"
"338","","Pennsylvania 14","","Doyle, MichaelMichael Doyle","Democratic","Roman Catholic","State Senator Chief of Staff","Penn State University","1995","1953"
"339","","Pennsylvania 15","","Dent, CharlieCharlie Dent","Republican","Presbyterian PC(USA)","Pennsylvania State Senate","Penn State UniversityLehigh University","2005","1960"
"340","","Pennsylvania 16","","Pitts, JoeJoe Pitts","Republican","Nondenominational Christian","State Representative, Pennsylvania","Asbury College","1997","1939"
"341","","Pennsylvania 17","","Cartwright, MattMatt Cartwright","Democratic","Roman Catholic","Attorney","Hamilton CollegeUniversity of Pennsylvania Law School","2013","1961"
"342","","Pennsylvania 18","","Murphy, Timothy F.Timothy F. Murphy","Republican","Roman Catholic","Pennsylvania State Senate","Wheeling Jesuit UniversityCleveland State UniversityUniversity of Pittsburgh","2003","1952"
"343","","Rhode Island 1","","Cicilline, DavidDavid Cicilline","Democratic","Roman Catholic","Mayor of Providence","Brown UniversityGeorgetown University Law Center","2011","1961"
"344","","Rhode Island 2","","Langevin, JimJim Langevin","Democratic","Roman Catholic","Rhode Island State Assembly, Rhode Island Secretary of State","Rhode Island CollegeHarvard University","2001","1964"
"345","","South Carolina 1","","Sanford, MarkMark Sanford","Republican","Episcopalian","U.S. House (1995-2001), Governor of South Carolina","Furman UniversityUniversity of Virginia","2013*","1960"
"346","","South Carolina 2","","Wilson, JoeJoe Wilson","Republican","Presbyterian ARPC","South Carolina Senate","Washington and Lee UniversityUniversity of South Carolina School of Law","2001*","1947"
"347","","South Carolina 3","","Duncan, JeffJeff Duncan","Republican","Baptist - SBC","South Carolina House of Representatives","Clemson University","2011","1966"
"348","","South Carolina 4","","Gowdy, TreyTrey Gowdy","Republican","Baptist - SBC","7th Circuit Solicitor","Baylor UniversityUniversity of South Carolina School of Law","2011","1964"
"349","","South Carolina 5","","Mulvaney, MickMick Mulvaney","Republican","Roman Catholic","South Carolina House of Representatives, South Carolina Senate","Georgetown UniversityUniversity of North Carolina at Chapel Hill","2011","1967"
"350","","South Carolina 6","","Clyburn, JimJim Clyburn","Democratic","African Methodist","Political aide, teacher","South Carolina State University","1993","1940"
"351","","South Carolina 7","","Rice, TomTom Rice","Republican","Episcopalian","Attorney, businessman","University of South Carolina","2013","1957"
"352","","South Dakota At Large","","Noem, KristiKristi Noem","Republican","Pentecostal - ICFG","South Dakota House of Representatives","South Dakota State University","2011","1971"
"353","","Tennessee 1","","Roe, PhilPhil Roe","Republican","United Methodist","OB/GYN, Mayor of Johnson City","Austin Peay State UniversityUniversity of Tennessee","2009","1945"
"354","","Tennessee 2","","Duncan, JimmyJimmy Duncan","Republican","Presbyterian PC(USA)","state court judge","University of TennesseeGeorge Washington University","1988*","1947"
"355","","Tennessee 3","","Fleischmann, ChuckChuck Fleischmann","Republican","Roman Catholic","attorney","University of IllinoisUniversity of Tennessee College of Law","2011","1962"
"356","","Tennessee 4","","DesJarlais, ScottScott DesJarlais","Republican","Episcopalian","physician","University of South DakotaSanford School of Medicine of the University of South Dakota","2011","1964"
"357","","Tennessee 5","","Cooper, JimJim Cooper","Democratic","Episcopalian","college professor","University of North CarolinaOriel CollegeHarvard Law School","2003","1954"
"358","","Tennessee 6","","Black, DianeDiane Black","Republican","Lutheran - ELCA","Tennessee House of Representatives, Tennessee Senate","Belmont University","2011","1951"
"359","","Tennessee 7","","Blackburn, MarshaMarsha Blackburn","Republican","Presbyterian PC(USA)","Tennessee Senate","Mississippi State University","2003","1952"
"360","","Tennessee 8","","Fincher, StephenStephen Fincher","Republican","United Methodist","farmer","","2011","1973"
