"","","District","","Name","Party","Religion","Prior Experience","Education","Assumed Office","Born In"
"41","","California 20","","Farr, SamSam Farr","Democratic","Episcopalian","California State Assembly, Monterey County Board of Supervisors","Willamette UniversitySanta Clara UniversityMonterey Institute of International Studies","1993","1941"
"42","","California 21","","Valadao, DavidDavid Valadao","Republican","Roman Catholic","California State Assembly","College of the Sequoias","2013","1977"
"43","","California 22","","Nunes, DevinDevin Nunes","Republican","Roman Catholic","California State Director for the United States Department of Agriculture's Rural Development Section","College of the SequoiasCal Poly University, San Luis Obispo","2003","1973"
"44","","California 23","","McCarthy, KevinKevin McCarthy","Republican","Baptist - SBC","Current House Majority WhipCalifornia State Assembly","California State University, Bakersfield","2007","1965"
"45","","California 24","","Capps, LoisLois Capps","Democratic","Lutheran - ELCA","Nurse, Teacher","Pacific Lutheran UniversityYale UniversityUniversity of California, Santa Barbara","1998*","1938"
"46","","California 25","","McKeon, HowardHoward McKeon","Republican","Mormon","Santa Clarita, California City Council","Brigham Young University","1993","1938"
"47","","California 26","","Brownley, JuliaJulia Brownley","Democratic","Episcopalian","California State Assembly","George Washington UniversityAmerican University","2013","1952"
"48","","California 27","","Chu, JudyJudy Chu","Democratic","Baptist","Mayor of Monterey Park, Monterey Park City Council, California State Assembly, California State Board of Equalization","University of California, Los Angeles","2009*","1953"
"49","","California 28","","Schiff, AdamAdam Schiff","Democratic","Jewish","California State Senate, Assistant Prosecutor for the United States Attorney for the Southern District of California","Stanford UniversityHarvard University","2001","1960"
"50","","California 29","","Cardenas, TonyTony Cardenas","Democratic","Christian","Los Angeles City Council","University of California, Santa Barbara","2013","1963"
"51","","California 30","","Sherman, BradBrad Sherman","Democratic","Jewish","California Board of Equalization","University of California, Los AngelesHarvard Law School","1997","1954"
"52","","California 31","","Miller, GaryGary Miller","Republican","Nondenominational Christian","California State Assembly, Mayor of Diamond Bar, California, Diamond Bar Municipal Advisory Council","Mount San Antonio College","1999","1948"
"53","","California 32","","Napolitano, GraceGrace Napolitano","Democratic","Roman Catholic","California State Assembly","Texas Southmost College","1999","1936"
"54","","California 33","","Waxman, HenryHenry Waxman","Democratic","Jewish","California State Assembly","University of California, Los Angeles","1975","1939"
"55","","California 34","","Becerra, XavierXavier Becerra","Democratic","Roman Catholic","California State Assembly","Stanford University","1993","1958"
"56","","California 35","","McLeod, Gloria NegreteGloria Negrete McLeod","Democratic","Roman Catholic","California State Senate","Chaffey College","2013","1941"
"57","","California 36","","Ruiz, RaulRaul Ruiz","Democratic","Seventh-day Adventist","Emergency physician","University of California, Los AngelesHarvard University","2013","1972"
"58","","California 37","","Bass, KarenKaren Bass","Democratic","Baptist","Speaker of the California State Assembly","California State University, Dominguez Hills","2011","1953"
"59","","California 38","","Sánchez, LindaLinda Sánchez","Democratic","Roman Catholic","Attorney","University of California, BerkeleyUniversity of California, Los Angeles","2003","1969"
"60","","California 39","","Royce, EdEd Royce","Republican","Roman Catholic","California State Senate","California State University, Fullerton","1993","1951"
"61","","California 40","","Roybal-Allard, LucilleLucille Roybal-Allard","Democratic","Roman Catholic","public relations executive","California State University, Los Angeles","1993","1941"
"62","","California 41","","Takano, MarkMark Takano","Democratic","United Methodist","Teacher","Harvard University","2013","1960"
"63","","California 42","","Calvert, KenKen Calvert","Republican","Congregationalist - UCC","Real Estate Executive","Chaffey CollegeSan Diego State University","1993","1953"
"64","","California 43","","Waters, MaxineMaxine Waters","Democratic","unspecified Christian","California State Assembly","California State University, Los Angeles","1991","1938"
"65","","California 44","","Hahn, JaniceJanice Hahn","Democratic","Churches of Christ","Los Angeles City Council, former businesswoman and teacher","Abilene Christian University","2011*","1952"
"66","","California 45","","Campbell, JohnJohn Campbell","Republican","Presbyterian PC(USA)","California State Senate, California State Assembly","University of California, Los AngelesUniversity of Southern California","2005","1955"
"67","","California 46","","Sanchez, LorettaLoretta Sanchez","Democratic","Roman Catholic","Financial analyst","Chapman UniversityAmerican University","1997","1960"
"68","","California 47","","Lowenthal, AlanAlan Lowenthal","Democratic","Jewish","California State Senate, California State Assembly","Ohio State University|Hobart College","2013","1941"
"69","","California 48","","Rohrabacher, DanaDana Rohrabacher","Republican","Baptist","Special assistant to Ronald Reagan","California State University, Long BeachUniversity of Southern California","1989","1947"
"70","","California 49","","Issa, DarrellDarrell Issa","Republican","Eastern Orthodox","Electronics executive","Kent State University","2001","1953"
"71","","California 50","","Hunter, Duncan D.Duncan D. Hunter","Republican","Baptist - SBC","Military officer, businessman","San Diego State University","2009","1976"
"72","","California 51","","Vargas, JuanJuan Vargas","Democratic","Roman Catholic","California State Senate","Harvard Law SchoolFordham UniversityUniversity of San Diego","2013","1961"
"73","","California 52","","Peters, ScottScott Peters","Democratic","Lutheran - ELCA","San Diego City Council, San Diego Port Commission","Duke UniversityNew York University School of Law","2013","1958"
"74","","California 53","","Davis, SusanSusan Davis","Democratic","Jewish","California State Assembly","University of California, BerkeleyUniversity of North Carolina at Chapel Hill","2001","1944"
"75","","Colorado 1","","DeGette, DianaDiana DeGette","Democratic","Presbyterian PC(USA)","Colorado House of Representatives","Colorado College","1997","1957"
"76","","Colorado 2","","Polis, JaredJared Polis","Democratic","Jewish","Colorado State Board of Education, Internet Executive","Princeton University","2009","1975"
"77","","Colorado 3","","Tipton, ScottScott Tipton","Republican","Anglican","Colorado House of Representatives","Fort Lewis College","2011","1956"
"78","","Colorado 4","","Gardner, CoryCory Gardner","Republican","Lutheran - LCMS","Colorado House of Representatives","Colorado State UniversityUniversity of Colorado at Boulder","2011","1974"
"79","","Colorado 5","","Lamborn, DougDoug Lamborn","Republican","unspecified Christian","President pro tempore of the Colorado Senate, Colorado House of Representatives","University of Kansas","2007","1954"
"80","","Colorado 6","","Coffman, MikeMike Coffman","Republican","United Methodist","Secretary of State of Colorado, Colorado State Treasurer, Colorado Senate, Colorado House of Representatives","University of Colorado","2009","1955"
"81","","Colorado 7","","Perlmutter, EdEd Perlmutter","Democratic","United Methodist","Colorado Senate","University of Colorado","2007","1953"
